ticket_id,stage,stage_title,deliverable,stage_requirement_scope,stage_gate_dependencies,responsible_role,release_milestone,stage_exit_criteria,package_additional_gate,plan_reference,progress_reference
S02-01,S02,"Catalog, metadata and familiar browsing","Hardcover catalog adapter and independent provider contract; Open Library for targeted conservative work/ebook fallback, caching, budgets and version/series normalization. Explicitly document which fields each adapter supplies; do not treat Open Library as a complete recording catalog or bulk-harvest it.","FR-05–FR-10, FR-12 initial local lists; NFR-03, NFR-07, NFR-10",S01,catalog/backend and frontend,Catalog preview,"AT-02 catalog identity/correction subset, AT-03 app metadata subset, AT-04 catalog search/detail subset and AT-05 local-list subset pass. Backend/file preservation and source-native results remain assigned to S03–S06. Provider outage leaves cached catalog usable. No catalog edition is created merely because two tracker releases exist. Initial accessibility checks cover navigation, search and book detail.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S02-02,S02,"Catalog, metadata and familiar browsing","Metadata resolver with Automatic defaults, provenance, protected edits, cover selection and advanced group/field preferences. Keep contradictory editions separate.","FR-05–FR-10, FR-12 initial local lists; NFR-03, NFR-07, NFR-10",S01,catalog/backend and frontend,Catalog preview,"AT-02 catalog identity/correction subset, AT-03 app metadata subset, AT-04 catalog search/detail subset and AT-05 local-list subset pass. Backend/file preservation and source-native results remain assigned to S03–S06. Provider outage leaves cached catalog usable. No catalog edition is created merely because two tracker releases exist. Initial accessibility checks cover navigation, search and book detail.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S02-03,S02,"Catalog, metadata and familiar browsing","Implement Seerr-style navigation, cover cards, shelves, detail layout, dialogs and settings visuals against book-native contracts. Adapt eligible presentation components where useful; avoid carrying framework/server dependencies solely to reuse markup. Record copied components and notices. Implement responsive keyboard-accessible states.","FR-05–FR-10, FR-12 initial local lists; NFR-03, NFR-07, NFR-10",S01,catalog/backend and frontend,Catalog preview,"AT-02 catalog identity/correction subset, AT-03 app metadata subset, AT-04 catalog search/detail subset and AT-05 local-list subset pass. Backend/file preservation and source-native results remain assigned to S03–S06. Provider outage leaves cached catalog usable. No catalog edition is created merely because two tracker releases exist. Initial accessibility checks cover navigation, search and book detail.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S02-04,S02,"Catalog, metadata and familiar browsing","Local/catalog search, work/edition/recording/series views, provisional works and correction flow. Add paginated endpoints and local search indexes.","FR-05–FR-10, FR-12 initial local lists; NFR-03, NFR-07, NFR-10",S01,catalog/backend and frontend,Catalog preview,"AT-02 catalog identity/correction subset, AT-03 app metadata subset, AT-04 catalog search/detail subset and AT-05 local-list subset pass. Backend/file preservation and source-native results remain assigned to S03–S06. Provider outage leaves cached catalog usable. No catalog edition is created merely because two tracker releases exist. Initial accessibility checks cover navigation, search and book detail.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S02-05,S02,"Catalog, metadata and familiar browsing","Local list CRUD, ordering and bulk selection; own/private access; placeholder ownership fields use explicit unknown state until inventory exists.","FR-05–FR-10, FR-12 initial local lists; NFR-03, NFR-07, NFR-10",S01,catalog/backend and frontend,Catalog preview,"AT-02 catalog identity/correction subset, AT-03 app metadata subset, AT-04 catalog search/detail subset and AT-05 local-list subset pass. Backend/file preservation and source-native results remain assigned to S03–S06. Provider outage leaves cached catalog usable. No catalog edition is created merely because two tracker releases exist. Initial accessibility checks cover navigation, search and book detail.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S03-01,S03,Audiobookshelf inventory and reconciliation,"ABS connection/capability test, inventory pagination, item details, deep links and change-event support where the backend permits it. Polling repairs gaps and supports connections without event capability. Separate scan authority from inventory access.","FR-02 library grants, FR-03 ABS, FR-10, FR-13–FR-15; NFR-01, NFR-05, NFR-08",S01; integrates with S02,"library adapter/backend, frontend availability",Connected library preview,"AT-06 inventory assertions, AT-07 missing/move detection and non-destructive repair subset, and AT-27 library-scope subset pass. Explicit replacement execution integrates in S05 and complete recovery in S09. Inventory-only credentials work. No scan-start or download status is used as proof of ownership.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S03-02,S03,Audiobookshelf inventory and reconciliation,"Reconciliation generations with complete/partial markers; periodic full repair after event gaps; stale, suspected missing and confirmed missing transitions.","FR-02 library grants, FR-03 ABS, FR-10, FR-13–FR-15; NFR-01, NFR-05, NFR-08",S01; integrates with S02,"library adapter/backend, frontend availability",Connected library preview,"AT-06 inventory assertions, AT-07 missing/move detection and non-destructive repair subset, and AT-27 library-scope subset pass. Explicit replacement execution integrates in S05 and complete recovery in S09. Inventory-only credentials work. No scan-start or download status is used as proof of ownership.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S03-03,S03,Audiobookshelf inventory and reconciliation,"Asset-to-work/version matching, technical media classification, companion-document exclusions and omnibus containment model. Keep match corrections durable.","FR-02 library grants, FR-03 ABS, FR-10, FR-13–FR-15; NFR-01, NFR-05, NFR-08",S01; integrates with S02,"library adapter/backend, frontend availability",Connected library preview,"AT-06 inventory assertions, AT-07 missing/move detection and non-destructive repair subset, and AT-27 library-scope subset pass. Explicit replacement execution integrates in S05 and complete recovery in S09. Inventory-only credentials work. No scan-start or download status is used as proof of ownership.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S03-04,S03,Audiobookshelf inventory and reconciliation,"Overall and medium-specific availability projections, granted-library filtering, pending states and version counts in cards/detail/library.","FR-02 library grants, FR-03 ABS, FR-10, FR-13–FR-15; NFR-01, NFR-05, NFR-08",S01; integrates with S02,"library adapter/backend, frontend availability",Connected library preview,"AT-06 inventory assertions, AT-07 missing/move detection and non-destructive repair subset, and AT-27 library-scope subset pass. Explicit replacement execution integrates in S05 and complete recovery in S09. Inventory-only credentials work. No scan-start or download status is used as proof of ownership.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S03-05,S03,Audiobookshelf inventory and reconciliation,"Relink external moves, handle permission changes and unavailable mounts conservatively; expose repair/ignore/replacement intent without enabling automatic replacement.","FR-02 library grants, FR-03 ABS, FR-10, FR-13–FR-15; NFR-01, NFR-05, NFR-08",S01; integrates with S02,"library adapter/backend, frontend availability",Connected library preview,"AT-06 inventory assertions, AT-07 missing/move detection and non-destructive repair subset, and AT-27 library-scope subset pass. Explicit replacement execution integrates in S05 and complete recovery in S09. Inventory-only credentials work. No scan-start or download status is used as proof of ownership.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S04-01,S04,"Safe importing, naming and collection manifests","Completed-file inspection, directory grouping, embedded metadata reading and conservative work/version matching. Create per-book manifests and hold ambiguous children. Distinguish book containers from generic archives; unsupported/encrypted/incomplete archives stay held. Optional extraction must satisfy the PRD storage and confinement contract.","FR-04, FR-08 preservation, FR-25–FR-30; NFR-01, NFR-02, NFR-06","S01, S03; catalog contracts from S02","importer/filesystem backend, compatibility QA, frontend preview",Import certification,"AT-14 import subset and AT-15–AT-19 pass; AT-30 publication crash subset passes. Compare source hashes before/after and hardlink inode behavior where supported. A missing ABS confirmation leaves awaiting-library, never available. Enable nested presets only for tested capability combinations. This gate uses disposable test services, not the user's media collection.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S04-02,S04,"Safe importing, naming and collection manifests","Naming preset/token model, conditional punctuation, source-to-destination preview, medium roots, version separation and stable collision suffixes. Freeze each accepted import plan.","FR-04, FR-08 preservation, FR-25–FR-30; NFR-01, NFR-02, NFR-06","S01, S03; catalog contracts from S02","importer/filesystem backend, compatibility QA, frontend preview",Import certification,"AT-14 import subset and AT-15–AT-19 pass; AT-30 publication crash subset passes. Compare source hashes before/after and hardlink inode behavior where supported. A missing ABS confirmation leaves awaiting-library, never available. Enable nested presets only for tested capability combinations. This gate uses disposable test services, not the user's media collection.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S04-03,S04,"Safe importing, naming and collection manifests","Validate mount/path mappings and actual hardlink capability; implement confined paths, source validation, external staging, no-replace publish and journaled crash reconciliation. Copy fallback requires an explicit policy.","FR-04, FR-08 preservation, FR-25–FR-30; NFR-01, NFR-02, NFR-06","S01, S03; catalog contracts from S02","importer/filesystem backend, compatibility QA, frontend preview",Import certification,"AT-14 import subset and AT-15–AT-19 pass; AT-30 publication crash subset passes. Compare source hashes before/after and hardlink inode behavior where supported. A missing ABS confirmation leaves awaiting-library, never available. Enable nested presets only for tested capability combinations. This gate uses disposable test services, not the user's media collection.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S04-04,S04,"Safe importing, naming and collection manifests",Generate independent OPF/cover sidecars with initial-export authority; reject unsafe inode-changing operations; track generated-file ownership separately from preexisting destination content.,"FR-04, FR-08 preservation, FR-25–FR-30; NFR-01, NFR-02, NFR-06","S01, S03; catalog contracts from S02","importer/filesystem backend, compatibility QA, frontend preview",Import certification,"AT-14 import subset and AT-15–AT-19 pass; AT-30 publication crash subset passes. Compare source hashes before/after and hardlink inode behavior where supported. A missing ABS confirmation leaves awaiting-library, never available. Enable nested presets only for tested capability combinations. This gate uses disposable test services, not the user's media collection.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S04-05,S04,"Safe importing, naming and collection manifests","Handle split series packs, mixed media, existing-owned children, extras and inseparable omnibus assets. Do not publish unresolved children as verified works.","FR-04, FR-08 preservation, FR-25–FR-30; NFR-01, NFR-02, NFR-06","S01, S03; catalog contracts from S02","importer/filesystem backend, compatibility QA, frontend preview",Import certification,"AT-14 import subset and AT-15–AT-19 pass; AT-30 publication crash subset passes. Compare source hashes before/after and hardlink inode behavior where supported. A missing ABS confirmation leaves awaiting-library, never available. Enable nested presets only for tested capability combinations. This gate uses disposable test services, not the user's media collection.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S04-06,S04,"Safe importing, naming and collection manifests","Certify conventional and nested-version layouts against actual ABS item boundaries and metadata precedence. Implement scan-capable and watcher-only confirmation, timeout/attention and repair.","FR-04, FR-08 preservation, FR-25–FR-30; NFR-01, NFR-02, NFR-06","S01, S03; catalog contracts from S02","importer/filesystem backend, compatibility QA, frontend preview",Import certification,"AT-14 import subset and AT-15–AT-19 pass; AT-30 publication crash subset passes. Compare source hashes before/after and hardlink inode behavior where supported. A missing ABS confirmation leaves awaiting-library, never available. Enable nested presets only for tested capability combinations. This gate uses disposable test services, not the user's media collection.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S05-01,S05,Native MAM and qBittorrent vertical slice,"Native MAM search/detail adapter adapted from bounded MouseSearch references; retain authors, narrators, descriptions, genres, raw titles, formats and release evidence.","FR-03–FR-04, FR-09–FR-10, FR-16, FR-20–FR-23, FR-30; NFR-01, NFR-02, NFR-10","S02, S03, S04",source/downloader backend and acquisition frontend,Private alpha,"AT-08, AT-12 baseline, AT-13 and end-to-end AT-19 pass; critical AT-30 crash points pass. Live account-specific auth/route checks are recorded separately from offline fixtures. Private alpha is for bounded use with explicit supported versions and recovery instructions; list automation is not enabled yet.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S05-02,S05,Native MAM and qBittorrent vertical slice,"mam_id storage/rotation, credential-scoped distributed serialization, explicit proxy route, shared rate limits and distinct auth/parser/no-result outcomes. No secret-bearing diagnostics.","FR-03–FR-04, FR-09–FR-10, FR-16, FR-20–FR-23, FR-30; NFR-01, NFR-02, NFR-10","S02, S03, S04",source/downloader backend and acquisition frontend,Private alpha,"AT-08, AT-12 baseline, AT-13 and end-to-end AT-19 pass; critical AT-30 crash points pass. Live account-specific auth/route checks are recorded separately from offline fixtures. Private alpha is for bounded use with explicit supported versions and recovery instructions; list automation is not enabled yet.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S05-03,S05,Native MAM and qBittorrent vertical slice,"qBittorrent adapter for capability negotiation, add, association, status and file enumeration; route/download path settings; preserve external ownership and seeding.","FR-03–FR-04, FR-09–FR-10, FR-16, FR-20–FR-23, FR-30; NFR-01, NFR-02, NFR-10","S02, S03, S04",source/downloader backend and acquisition frontend,Private alpha,"AT-08, AT-12 baseline, AT-13 and end-to-end AT-19 pass; critical AT-30 crash points pass. Live account-specific auth/route checks are recorded separately from offline fixtures. Private alpha is for bounded use with explicit supported versions and recovery instructions; list automation is not enabled yet.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S05-04,S05,Native MAM and qBittorrent vertical slice,"Basic profiles and ebook/audio/both/either requests. Implement eligibility before ranking, acquisition reservations and media/version-aware satisfaction.","FR-03–FR-04, FR-09–FR-10, FR-16, FR-20–FR-23, FR-30; NFR-01, NFR-02, NFR-10","S02, S03, S04",source/downloader backend and acquisition frontend,Private alpha,"AT-08, AT-12 baseline, AT-13 and end-to-end AT-19 pass; critical AT-30 crash points pass. Live account-specific auth/route checks are recorded separately from offline fixtures. Private alpha is for bounded use with explicit supported versions and recovery instructions; list automation is not enabled yet.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S05-05,S05,Native MAM and qBittorrent vertical slice,Orchestrate search → reserve → submission ledger → reconcile/monitor → inspection/import → ABS confirmation. Recover an add timeout by lookup before any resubmission.,"FR-03–FR-04, FR-09–FR-10, FR-16, FR-20–FR-23, FR-30; NFR-01, NFR-02, NFR-10","S02, S03, S04",source/downloader backend and acquisition frontend,Private alpha,"AT-08, AT-12 baseline, AT-13 and end-to-end AT-19 pass; critical AT-30 crash points pass. Live account-specific auth/route checks are recorded separately from offline fixtures. Private alpha is for bounded use with explicit supported versions and recovery instructions; list automation is not enabled yet.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S05-06,S05,Native MAM and qBittorrent vertical slice,"Sources/detail panel, direct-source search/provisional catalog flow, download action and activity actions. Expose pack scope and per-child progress.","FR-03–FR-04, FR-09–FR-10, FR-16, FR-20–FR-23, FR-30; NFR-01, NFR-02, NFR-10","S02, S03, S04",source/downloader backend and acquisition frontend,Private alpha,"AT-08, AT-12 baseline, AT-13 and end-to-end AT-19 pass; critical AT-30 crash points pass. Live account-specific auth/route checks are recorded separately from offline fixtures. Private alpha is for bounded use with explicit supported versions and recovery instructions; list automation is not enabled yet.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S06-01,S06,"Multi-source search, complete ranking and series policies","Native AudiobookBay adapter, supported-host configuration, markup fixtures, detail/coverage/magnet handling and parser-health errors.","FR-17–FR-20, FR-24–FR-26; NFR-03, NFR-10",S05,source/catalog/acquisition backend and source/series UI,Acquisition feature alpha,AT-09–AT-12 and full AT-14–AT-15 pass. A higher seeder count cannot override wrong language/recording or a blocked format. Missing seed data is not silently treated as an authoritative zero. Search alone causes no downloads.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S06-02,S06,"Multi-source search, complete ranking and series policies",Prowlarr per-indexer capabilities/categories/search/resolution; origin attribution; native-MAM overlap suppression; unsupported transport handling.,"FR-17–FR-20, FR-24–FR-26; NFR-03, NFR-10",S05,source/catalog/acquisition backend and source/series UI,Acquisition feature alpha,AT-09–AT-12 and full AT-14–AT-15 pass. A higher seeder count cannot override wrong language/recording or a blocked format. Missing seed data is not silently treated as an authoritative zero. Search alone causes no downloads.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S06-03,S06,"Multi-source search, complete ranking and series policies","Incremental federated search, per-source budgets, normalized+raw fields, release equivalence and per-origin availability. Preserve distinct credentials/download routes even when results describe the same transfer.","FR-17–FR-20, FR-24–FR-26; NFR-03, NFR-10",S05,source/catalog/acquisition backend and source/series UI,Acquisition feature alpha,AT-09–AT-12 and full AT-14–AT-15 pass. A higher seeder count cannot override wrong language/recording or a blocked format. Missing seed data is not silently treated as an authoritative zero. Search alone causes no downloads.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S06-04,S06,"Multi-source search, complete ranking and series policies","Complete profiles, inheritance and effective-policy explanations using the PRD precedence and in-flight change table. Default source/format preferences, minimum requirements, unknown-value handling and deterministic ranking; manual sorting separate from stored policy. Preserve each reason's constraints when sharing fulfillment.","FR-17–FR-20, FR-24–FR-26; NFR-03, NFR-10",S05,source/catalog/acquisition backend and source/series UI,Acquisition feature alpha,AT-09–AT-12 and full AT-14–AT-15 pass. A higher seeder count cannot override wrong language/recording or a blocked format. Missing seed data is not silently treated as an authoritative zero. Search alone causes no downloads.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S06-05,S06,"Multi-source search, complete ranking and series policies","Just book / Prefer packs / Complete series selection, aliases, published/main-series set, verified coverage and bounded size/expansion controls. Replan uncovered wanted children after inspection without refetching satisfied children.","FR-17–FR-20, FR-24–FR-26; NFR-03, NFR-10",S05,source/catalog/acquisition backend and source/series UI,Acquisition feature alpha,AT-09–AT-12 and full AT-14–AT-15 pass. A higher seeder count cannot override wrong language/recording or a blocked format. Missing seed data is not silently treated as an authoritative zero. Search alone causes no downloads.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S06-06,S06,"Multi-source search, complete ranking and series policies","Source comparison, rejection explanations, edition/recording distinction, series coverage and omnibus UI with a truthful shared-asset link.","FR-17–FR-20, FR-24–FR-26; NFR-03, NFR-10",S05,source/catalog/acquisition backend and source/series UI,Acquisition feature alpha,AT-09–AT-12 and full AT-14–AT-15 pass. A higher seeder count cannot override wrong language/recording or a blocked format. Missing seed data is not silently treated as an authoritative zero. Search alone causes no downloads.,,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S07-01,S07,External lists and acquisition automation,"Hardcover authorized lists/pages/memberships, per-account scopes, cursors, quotas and complete snapshot tracking. Preserve list/source provenance and unresolved entries.","FR-12 sync, FR-22 automated concurrency, FR-31–FR-33; NFR-02, NFR-05, NFR-10",S06; connectors can start after S02,"list/workflow backend, list/settings frontend",Automation beta,"AT-20–AT-22 pass with outage, overlapping-list and shared-torrent scenarios; relevant AT-13 and AT-30 regressions pass. Feed omission, list removal and account outage produce neither media deletion nor a surprise full backfill.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S07-02,S07,External lists and acquisition automation,Goodreads RSS conditional fetch and dedupe; CSV snapshot import with field mapping/preview. Distinguish observed additions from authoritative removals; record feed truncation/partial status.,"FR-12 sync, FR-22 automated concurrency, FR-31–FR-33; NFR-02, NFR-05, NFR-10",S06; connectors can start after S02,"list/workflow backend, list/settings frontend",Automation beta,"AT-20–AT-22 pass with outage, overlapping-list and shared-torrent scenarios; relevant AT-13 and AT-30 regressions pass. Feed omission, list removal and account outage produce neither media deletion nor a surprise full backfill.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S07-03,S07,External lists and acquisition automation,"Local membership/subscription reconciliation, explicit detach/remove semantics, source-owned memberships and durable exclusions. List deletion never deletes library files.","FR-12 sync, FR-22 automated concurrency, FR-31–FR-33; NFR-02, NFR-05, NFR-10",S06; connectors can start after S02,"list/workflow backend, list/settings frontend",Automation beta,"AT-20–AT-22 pass with outage, overlapping-list and shared-torrent scenarios; relevant AT-13 and AT-30 regressions pass. Feed omission, list removal and account outage produce neither media deletion nor a surprise full backfill.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S07-04,S07,External lists and acquisition automation,Browse/manual/automatic modes; ebook/audio/both/either and profile inheritance; backlog preview versus future-only first-successful-sync baseline. Start paused if no valid baseline can be established.,"FR-12 sync, FR-22 automated concurrency, FR-31–FR-33; NFR-02, NFR-05, NFR-10",S06; connectors can start after S02,"list/workflow backend, list/settings frontend",Automation beta,"AT-20–AT-22 pass with outage, overlapping-list and shared-torrent scenarios; relevant AT-13 and AT-30 regressions pass. Feed omission, list removal and account outage produce neither media deletion nor a surprise full backfill.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S07-05,S07,External lists and acquisition automation,"Scheduled due-sync jobs, initially around 30 minutes with jitter, shared budgets, adaptive backoff, bounded backfill batches and request reasons. Recheck inventory, reservations and suppressions at dispatch time, not just list ingest. Polling cadence is adjustable and subordinate to provider limits.","FR-12 sync, FR-22 automated concurrency, FR-31–FR-33; NFR-02, NFR-05, NFR-10",S06; connectors can start after S02,"list/workflow backend, list/settings frontend",Automation beta,"AT-20–AT-22 pass with outage, overlapping-list and shared-torrent scenarios; relevant AT-13 and AT-30 regressions pass. Feed omission, list removal and account outage produce neither media deletion nor a surprise full backfill.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S07-06,S07,External lists and acquisition automation,"List status/policy summary, per-item pending/owned/attention, manual selection, pause/resume, backlog cancellation and clear next actions. Pausing acquisition continues list observation; resuming previews accumulated additions. Policy changes preview their effect on existing unsatisfied entries.","FR-12 sync, FR-22 automated concurrency, FR-31–FR-33; NFR-02, NFR-05, NFR-10",S06; connectors can start after S02,"list/workflow backend, list/settings frontend",Automation beta,"AT-20–AT-22 pass with outage, overlapping-list and shared-torrent scenarios; relevant AT-13 and AT-30 regressions pass. Feed omission, list removal and account outage produce neither media deletion nor a surprise full backfill.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
