requirement_id,release,requirement,delivery_or_acceptance_scope,acceptance_ids,acceptance_stage_gates,specification,acceptance_plan,evidence_status
FR-11,v1,"Browse attributed discovery shelves, series continuation and related titles with explained signals; browse/follow accessible provider/community lists where supported",S08,AT-05,"S02, S08",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-12,v1,"Create, edit, order and share local lists; add/remove/select books individually or in batches; list ownership is distinct from acquisition reasons",S02; sync S07; sharing S08,AT-05,"S02, S08",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-13,v1,"Initial and periodic complete ABS reconciliation plus change events; page failures, filtering or permission changes cannot masquerade as whole-library deletion",S03,AT-06,S03,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-14,v1,“In library” when either confirmed full medium is available; separate edition/media availability and pending requirements; tracker count does not affect edition count,S03,AT-06,S03,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-15,v1,Detect stale/suspected/confirmed missing assets and external moves; offer repair/replace/ignore; do not automatically replace intentional or unexplained deletions by default,S03; recovery completed S09,AT-07,"S03, S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-16,v1,"Native MAM search/detail using mam_id, rich fields and explicit proxy routing; preserve session rotation safely across workers and distinguish login/error/empty responses",S05,AT-08,S05,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-17,v1,"Native AudiobookBay search/detail/file-list/magnet adapter with configurable supported host, bounded fetching and parser diagnostics",S06,AT-09,S06,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-18,v1,"Optional Prowlarr indexers, per-indexer origin/capabilities/categories; avoid duplicate native-MAM query paths; label unsupported acquisition protocols",S06,AT-10,S06,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-19,v1,"Aggregate releases by work/version while retaining raw titles, descriptions, technical fields and pack coverage; partial results appear independently of failed sources",S06,AT-11,S06,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-20,v1,Reusable profile with inherited language/media/format/source/coverage preferences and deterministic eligibility/ranking explanation; reorder formats/sources and block formats,S05 baseline; complete S06,AT-12,S05–S06,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-21,v1,"Request ebook, audiobook, both or either; select an exact recording or any acceptable version; manual download applies the effective scope/profile",S05,AT-12,S05–S06,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-22,v1,"Durable intents, reasons, reservations and jobs prevent repeat/concurrent acquisitions, reconcile uncertain submissions and resume after crashes",S01 foundation; end-to-end S05–S07,AT-13; AT-30,"S01, S05, S07; S01, S04–S07, S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-23,v1,"Direct qBittorrent submission, association and monitoring; inspect completed files; preserve seeding paths and do not claim unrelated existing torrents",S05,AT-13; AT-30,"S01, S05, S07; S01, S04–S07, S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-24,v1,Just this book / Prefer series packs / Complete series; search known series aliases; distinguish published-main-series coverage from future/related titles,S06,AT-14,"S04, S06",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-25,v1,Track claimed/corroborated/verified pack contents; map each actual book/version to its own manifest entry; skip satisfied imports and resume unresolved children independently,S04 foundation; selection completed S06,AT-14,"S04, S06",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-26,v1,Represent an inseparable omnibus as one asset containing verified works; do not invent separately playable files or count unverified contents as owned,S04; UI completed S06,AT-15,"S04, S06",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-27,v1,"Default and customizable author/series/book/version folder and file templates, per-medium roots, preview, conditional metadata tokens and collision handling",S04,AT-16,S04,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-28,v1,"Hardlink-first import into external staging with safe no-replace publication, optional explicit copy policy, confined paths and unchanged seeded bytes",S04,AT-17; AT-30,"S04; S01, S04–S07, S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-29,v1,Generate per-version supported sidecars and covers; distinguish initial export from later app/ABS edits; provider/template changes never implicitly rename published items,S04,AT-18,S04,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-30,v1,"Scan or await watcher detection and verify expected ABS item boundaries, files and identity; multiple narrators/editions remain separate; delayed confirmation does not redownload",S04; real-client flow S05,AT-19,S04–S05,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-31,v1,"Subscribe to authorized Hardcover lists, paginate/diff safely and record freshness; account-specific quotas/scopes do not leak between users",S07,AT-20,S07,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-32,v1,Subscribe to supported Goodreads RSS feeds and import CSV snapshots; conditional fetch and entry dedupe; omission/partial feeds never imply removals,S07,AT-21,S07,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-33,v1,"Browse/manual/automatic list modes, inherited desired media, backlog preview, future-only baseline, exclusions and shared acquisition reasons; repeat sync has no duplicate effect",S07,AT-22,S07,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-34,v1,"Optional scoped Hardcover list write-back with durable desired-state operations, reconciliation and conflict handling; never mark read because a file downloaded",S08,AT-23,S08,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-35,v1,"Activity/issue views expose effective policy, selected/rejected reasons, per-book progress and valid repair actions; retries restart only appropriate stages",S01 shell; complete S09,AT-24,S01–S09,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-36,v1,"Versioned migrations, backup/restore including keys/manifests, restore reconciliation mode and operator documentation; upgrade never silently replays historical downloads",S00 foundation; complete S09,AT-25,S09,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-37,post-v1,"Opt-in automatic quality upgrades/replacement, retaining existing assets until a replacement is confirmed and defining retention/seeding behavior",S10,AT-31,S10,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-38,post-v1,"Explicit existing-import reorganization and selected metadata push with diff, collision checks and progress-preserving reconciliation",S10,AT-31,S10,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-39,post-v1,"Additional library backends such as BookOrbit through the same inventory adapter contract, with independent capability certification",S10,AT-32,S10,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-40,post-v1,"Richer recommendation signals and additional community/catalog providers with attribution, privacy and measurable usefulness",S10,AT-33,S10,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-41,post-v1,"Additional download clients/protocols, including Usenet only with an implemented client and lifecycle contract",S10,AT-34,S10,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
FR-42,post-v1,"OIDC/SSO account linking without changing list ownership, permissions or existing local-admin recovery",S10,AT-35,S10,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-01,v1,Integrity,"No seeded-byte mutation, unrelated overwrite or false ownership in the critical corpus",AT-17; AT-30,"S04; S01, S04–S07, S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-02,v1,Durability,Restart/redelivery preserves intents and repairs ambiguous external outcomes without duplicate side effects,AT-30,"S01, S04–S07, S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-03,v1,Responsiveness,Meet the reference latency targets; incremental source results and usable cached views,AT-26,S09,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-04,v1,Capacity,"Reference dataset and bounded concurrency operate without unbounded memory, job or connection growth",AT-26,S09,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-05,v1,Privacy/security,"Server-side authorization, protected secrets/sessions, redacted diagnostics and confined external/file operations",AT-27,"S01, S03, S08–S09",PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-06,v1,Compatibility,"Published matrix of tested backend versions, media/layout capabilities and filesystem constraints",AT-29,S00 onward; S09 release,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-07,v1,Accessibility,"Target WCAG 2.2 AA: keyboard operation, focus, labelled controls, meaningful status text, contrast and non-color-only indicators",AT-28,S02 onward; S09 release,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-08,v1,Observability,"Correlation from request through import; last successful sync, queue age and actionable errors without credentials",AT-24,S01–S09,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-09,v1,Maintainability,"Typed contracts, reproducible dependencies, reviewed migrations, adapter isolation and retained reuse notices",AT-29,S00 onward; S09 release,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-10,v1,Provider/resource discipline,"Shared quota budgets, bounded retries/caches, explicit routes and no fabricated source availability",AT-08; AT-26,S05; S09,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-11,v1,Recoverability,"Daily app-state backup target (≤24 h RPO), pre-upgrade backup, and ≤1 h app-state restore target on reference fixture; media backups are separate",AT-25,S09,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
NFR-12,v1,Operability,"Documented Compose install/upgrade, health/readiness, non-root filesystem identity and degraded browsing during optional upstream outages",AT-29,S00 onward; S09 release,PRD.md,ACCEPTANCE-PLAN.md,See docs/IMPLEMENTATION-STATUS.md; mapping is not completion evidence
